Category: All categories

Month,jquery: (United States),react: (United States),angular: (United States),vue: (United States)
2010-01,61,9,7,26
2010-02,69,11,9,25
2010-03,76,12,12,25
2010-04,78,12,14,24
2010-05,80,10,8,25
2010-06,86,8,7,29
2010-07,73,7,5,28
2010-08,78,6,5,25
2010-09,73,10,8,24
2010-10,77,12,13,22
2010-11,75,12,15,21
2010-12,73,9,9,21
2011-01,76,11,7,23
2011-02,88,13,10,24
2011-03,92,13,11,24
2011-04,91,13,12,23
2011-05,91,13,7,23
2011-06,95,10,6,27
2011-07,93,8,5,26
2011-08,100,8,4,25
2011-09,93,14,8,23
2011-10,92,16,13,20
2011-11,92,16,16,19
2011-12,80,13,9,19
2012-01,86,14,7,22
2012-02,96,17,10,24
2012-03,97,16,12,26
2012-04,94,16,13,23
2012-05,98,15,7,26
2012-06,97,12,6,28
2012-07,95,11,5,27
2012-08,98,10,5,26
2012-09,88,17,9,26
2012-10,88,19,14,24
2012-11,81,19,17,24
2012-12,73,17,11,26
2013-01,84,17,8,26
2013-02,89,20,12,25
2013-03,89,20,15,25
2013-04,91,22,18,27
2013-05,90,20,12,27
2013-06,88,15,11,30
2013-07,90,17,11,28
2013-08,88,16,11,28
2013-09,82,20,15,29
2013-10,88,25,24,26
2013-11,80,25,27,28
2013-12,70,21,18,35
2014-01,77,19,18,31
2014-02,81,23,22,31
2014-03,78,24,25,28
2014-04,82,27,30,28
2014-05,78,25,24,30
2014-06,81,19,23,30
2014-07,81,18,24,29
2014-08,79,19,24,29
2014-09,74,27,27,29
2014-10,75,30,36,28
2014-11,66,29,37,28
2014-12,62,28,29,28
2015-01,63,28,30,29
2015-02,67,32,36,28
2015-03,68,33,39,32
2015-04,71,34,43,28
2015-05,64,32,35,29
2015-06,72,27,37,34
2015-07,73,27,38,31
2015-08,67,27,35,32
2015-09,63,35,40,31
2015-10,63,39,44,32
2015-11,55,40,45,30
2015-12,52,36,39,29
2016-01,48,40,35,31
2016-02,53,52,43,31
2016-03,56,48,45,49
2016-04,53,48,46,44
2016-05,53,45,39,41
2016-06,54,40,40,43
2016-07,48,36,34,40
2016-08,50,36,36,46
2016-09,45,43,37,60
2016-10,44,50,43,56
2016-11,45,54,47,54
2016-12,41,45,40,50
2017-01,43,50,42,56
2017-02,48,59,49,56
2017-03,49,58,52,56
2017-04,46,59,52,51
2017-05,46,60,45,52
2017-06,44,57,44,53
2017-07,41,53,41,51
2017-08,43,55,42,54
2017-09,38,58,42,64
2017-10,39,66,47,60
2017-11,37,62,51,54
2017-12,31,54,40,50
2018-01,33,61,41,55
2018-02,35,74,47,55
2018-03,35,75,49,51
2018-04,34,76,50,50
2018-05,33,74,45,51
2018-06,32,72,43,51
2018-07,30,77,42,48
2018-08,31,73,43,51
2018-09,27,75,41,58
2018-10,29,81,50,55
2018-11,26,75,47,50
2018-12,23,68,38,47
2019-01,24,76,42,50
2019-02,26,83,47,48
2019-03,25,82,45,48
2019-04,26,84,48,48
2019-05,23,86,42,47
2019-06,24,80,41,46
2019-07,24,86,41,46
2019-08,23,84,39,54
2019-09,22,83,41,55
2019-10,22,87,45,53
2019-11,20,81,44,42
2019-12,17,74,34,37
2020-01,18,76,34,38
